0                                     {"Emotions": ["neutral", "disappointment"]}           0          0      0          0         0       0          0          0       0               1            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
1                              {"Emotions": ["confusion", "desire", "curiosity"]}           0          0      0          0         0       0          1          1       1               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
2                                                       {"Emotions": ["neutral"]}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
3                          {\n  "Emotions": ["approval", "optimism", "caring"]\n}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
5                                                       {"Emotions": ["neutral"]}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
6                            {\n"Emotions": ["approval", "caring", "optimism"]\n}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
7                             {"Emotions": ["annoyance", "disapproval", "anger"]}           0          0      1          1         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
8   {\n  "Emotions": [\n    "approval",\n    "curiosity",\n    "optimism"\n  ]\n}           0          0      0          0         1       0          0          1       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
9                            {\n"Emotions": ["approval", "desire", "optimism"]\n}           0          0      0          0         1       0          0          0       1               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
10                               {"Emotions": ["approval", "caring", "optimism"]}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
11                                       {"Emotions": ["neutral", "disapproval"]}           0          0      0          0         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
12                           {\n"Emotions": ["caring", "approval", "optimism"]\n}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
13                                      {\n"Emotions": ["neutral", "approval"]\n}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
14                               {"Emotions": ["approval", "desire", "optimism"]}           0          0      0          0         1       0          0          0       1               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
15                               {"Emotions": ["approval", "caring", "optimism"]}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
16                               {"Emotions": ["approval", "caring", "optimism"]}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
17                           {"Emotions": ["approval", "optimism", "admiration"]}           1          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
18                        {\n"Emotions": ["anger", "disapproval", "annoyance"]\n}           0          0      1          1         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
19                      {\n"Emotions": ["approval", "confusion", "neutrality"]\n}           0          0      0          0         1       0          1          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
20                   {\n"Emotions": ["approval", "disappointment", "optimism"]\n}           0          0      0          0         1       0          0          0       0               1            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
21                                 {"Emotions": ["optimism", "desire", "caring"]}           0          0      0          0         0       1          0          0       1               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
22                                           {"Emotions": ["control", "neutral"]}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
23                                     {\n"Emotions": ["disapproval", "anger"]\n}           0          0      1          0         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
24                               {"Emotions": ["approval", "desire", "optimism"]}           0          0      0          0         1       0          0          0       1               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
25                               {"Emotions": ["optimism", "desire", "approval"]}           0          0      0          0         1       0          0          0       1               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
26                             { "Emotions": ["optimism", "approval", "caring"] }           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
27                                       {"Emotions": ["neutral", "disapproval"]}           0          0      0          0         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
28                            {"Emotions": ["disapproval", "anger", "annoyance"]}           0          0      1          1         1       0          0          0       0               0            1        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
29                                         {"Emotions": ["approval", "optimism"]}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
30                               {"Emotions": ["approval", "desire", "optimism"]}           0          0      0          0         1       0          0          0       1               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
31                               {"Emotions": ["approval", "caring", "optimism"]}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
32                     {\n"Emotions": [\n"approval",\n"caring",\n"optimism"\n]\n}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
33                                     {\n"Emotions": ["approval", "optimism"]\n}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
34                          {\n  "Emotions": ["approval", "caring", "neutral"]\n}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
35                                 {"Emotions": ["approval", "desire", "caring"]}           0          0      0          0         1       1          0          0       1               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
36                             { "Emotions": ["approval", "caring", "optimism"] }           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
37                              {"Emotions": ["approval", "caring", "confusion"]}           0          0      0          0         1       1          1          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        0  1
38                               {"Emotions": ["optimism", "approval", "desire"]}           0          0      0          0         1       0          0          0       1               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
39                           {"Emotions": ["approval", "admiration", "optimism"]}           1          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
40                                         {"Emotions": ["optimism", "approval"]}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
41                                                  {\n"Emotions": ["neutral"]\n}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
42                               {"Emotions": ["optimism", "approval", "caring"]}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
43                             {"Emotions": ["annoyance", "approval", "neutral"]}           0          0      0          1         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
44                                                   {"Emotions": ["neutrality"]}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
45                               {"Emotions": ["approval", "desire", "optimism"]}           0          0      0          0         1       0          0          0       1               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
46                               {"Emotions": ["approval", "caring", "optimism"]}           0          0      0          0         1       1          0          0       0               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
47                                          {"Emotions": ["approval", "neutral"]}           0          0      0          0         1       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
48                                                      {"Emotions": ["neutral"]}           0          0      0          0         0       0          0          0       0               0            0        0              0           0     0          0      0    0     0            0         0      0            0       0        0        0        0        1  1
49                         { "Emotions": [ "admiration", "optimism", "desire" ] }           1          0      0          0         0       0          0          0       1               0            0        0              0           0     0          0      0    0     0            0         1      0            0       0        0        0        0        0  1
