0                                                                                                                                                             {"Annotator 1": ["approval", "caring", "disappointment"], \n"Annotator 2": ["annoyance", "disapproval"], \n"Annotator 3": ["confusion", "nervousness"], \n"Annotator 4": ["disappointment", "disapproval", "remorse"], \n"Annotator 5": ["neutral"]}        {"   1": ["approval", "caring", "disappointment"], \n"                      2": ["annoyance", "disapproval"], \n"                                 3": ["confusion", "nervousness"], \n"                              4": ["disappointment", "disapproval", "remorse"], \n"                                                                                         5": ["neutral"]}
1                                                                                                                                                                                                   {"Annotator 1": [null], "Annotator 2": [false, null, null, null, null], "Annotator 3": [false, false, null, null, null], "Annotator 4": [false, false, null, null, null], "Annotator 5": [false, false, null]}        {"                                       1": [null], "                     2": [false, null, null, null, null], "                               3": [false, false, null, null, null], "                                            4": [false, false, null, null, null], "                                                                                5": [false, false, null]}
2                                                                                                                                                                                                                                      { "Annotator 1": ["approval", "curiosity"], "Annotator 2": ["approval", "optimism"], "Annotator 3": ["neutral"], "Annotator 4": ["approval"], "Annotator 5": ["approval"] }       { "                    1": ["approval", "curiosity"], "                            2": ["approval", "optimism"], "                                                    3": ["neutral"], "                                                                4": ["approval"], "                                                                                       5": ["approval"] }
3                                                                                                                                                                                                                            { "Annotator 1": ["approval", "caring"], "Annotator 2": ["approval"], "Annotator 3": ["approval"], "Annotator 4": ["optimism", "pride"], "Annotator 5": ["approval", "realization"] }       { "                       1": ["approval", "caring"], "                                        2": ["approval"], "                                                   3": ["approval"], "                                                       4": ["optimism", "pride"], "                                                                        5": ["approval", "realization"] }
5                                                                                                                                                                                                                                   { "Annotator 1": ["approval", "optimism"], "Annotator 2": ["confusion"], "Annotator 3": ["neutral"], "Annotator 4": ["curiosity", "realization"], "Annotator 5": ["neutral"] }       { "                     1": ["approval", "optimism"], "                                       2": ["confusion"], "                                                    3": ["neutral"], "                                                4": ["curiosity", "realization"], "                                                                                        5": ["neutral"] }
7                                                                                                                                             {\n  "Annotator 1": ["disapproval", "anger"],\n  "Annotator 2": ["annoyance", "disappointment", "disapproval"],\n  "Annotator 3": ["disgust", "disapproval"],\n  "Annotator 4": ["anger", "annoyance", "disapproval"],\n  "Annotator 5": ["anger", "disapproval"]\n}    {\n  "                  1": ["disapproval", "anger"],\n  "   2": ["annoyance", "disappointment", "disapproval"],\n  "                                  3": ["disgust", "disapproval"],\n  "                                    4": ["anger", "annoyance", "disapproval"],\n  "                                                                          5": ["anger", "disapproval"]\n}
8                                                                                                                                                                                      { "Annotator 1": ["approval", "caring"], "Annotator 2": ["approval", "curiosity"], "Annotator 3": ["approval", "optimism"], "Annotator 4": ["approval", "pride", "realization"], "Annotator 5": ["approval", "gratitude"] }       { "                       1": ["approval", "caring"], "                           2": ["approval", "curiosity"], "                                       3": ["approval", "optimism"], "                                        4": ["approval", "pride", "realization"], "                                                                          5": ["approval", "gratitude"] }
9                                                                                                                                             { "Annotator 1": [ "optimism", "approval" ], "Annotator 2": [ "caring", "approval", "gratitude" ], "Annotator 3": [ "caring", "approval", "excitement" ], "Annotator 4": [ "desire", "approval", "curiosity" ], "Annotator 5": [ "pride", "optimism", "approval" ] }       { "                   1": [ "optimism", "approval" ], "               2": [ "caring", "approval", "gratitude" ], "                         3": [ "caring", "approval", "excitement" ], "                                       4": [ "desire", "approval", "curiosity" ], "                                                                5": [ "pride", "optimism", "approval" ] }
10                                                                                                                                                                                                                                      { "Annotator 1": ["approval", "caring"], "Annotator 2": ["approval"], "Annotator 3": ["neutrality"], "Annotator 4": ["optimism", "approval"], "Annotator 5": ["neutral"] }       { "                       1": ["approval", "caring"], "                                        2": ["approval"], "                                                 3": ["neutrality"], "                                                    4": ["optimism", "approval"], "                                                                                        5": ["neutral"] }
11                                                                                                                                                       {\n    "Annotator 1": ["approval", "disapproval"],\n    "Annotator 2": ["annoyance", "disapproval"],\n    "Annotator 3": ["anger", "disapproval"],\n    "Annotator 4": ["annoyance", "disappointment", "disapproval"],\n    "Annotator 5": ["neutral"]\n}  {\n    "             1": ["approval", "disapproval"],\n    "                   2": ["annoyance", "disapproval"],\n    "                                  3": ["anger", "disapproval"],\n    "                         4": ["annoyance", "disappointment", "disapproval"],\n    "                                                                                       5": ["neutral"]\n}
